origin_id,destination_id,origin,destination,origin_station,destination_station
7,15,PLZA,FTVL,El Cerrito Plaza,Fruitvale
7,16,PLZA,COLS,El Cerrito Plaza,Coliseum
7,17,PLZA,SANL,El Cerrito Plaza,San Leandro
7,18,PLZA,BAYF,El Cerrito Plaza,Bay Fair
7,19,PLZA,HAYW,El Cerrito Plaza,Hayward
7,20,PLZA,SHAY,El Cerrito Plaza,South Hayward
7,21,PLZA,UCTY,El Cerrito Plaza,Union City
7,22,PLZA,FRMT,El Cerrito Plaza,Fremont
7,23,PLZA,CAST,El Cerrito Plaza,Castro Valley
7,24,PLZA,DUBL,El Cerrito Plaza,Dublin/Pleasanton
7,25,PLZA,PITT,El Cerrito Plaza,Pittsburg/Bay Point
7,26,PLZA,NCON,El Cerrito Plaza,North Concord/Martinez
7,27,PLZA,COLM,El Cerrito Plaza,Colma
7,28,PLZA,CONC,El Cerrito Plaza,Concord
7,29,PLZA,PHIL,El Cerrito Plaza,Pleasant Hill
7,30,PLZA,WCRK,El Cerrito Plaza,Walnut Creek
7,31,PLZA,LAFY,El Cerrito Plaza,Lafayette
7,32,PLZA,ORIN,El Cerrito Plaza,Orinda
7,33,PLZA,ROCK,El Cerrito Plaza,Rockridge
7,34,PLZA,WOAK,El Cerrito Plaza,West Oakland
7,35,PLZA,EMBR,El Cerrito Plaza,Embarcadero
7,36,PLZA,MONT,El Cerrito Plaza,Montgomery Street
7,37,PLZA,POWL,El Cerrito Plaza,Powell Street
7,38,PLZA,CIVC,El Cerrito Plaza,Civic Center
7,39,PLZA,16TH,El Cerrito Plaza,16th Street Mission
7,40,PLZA,24TH,El Cerrito Plaza,24th Street Mission
7,41,PLZA,GLEN,El Cerrito Plaza,Glen Park
7,42,PLZA,BALB,El Cerrito Plaza,Balboa Park
7,43,PLZA,DALY,El Cerrito Plaza,Daly City
7,44,PLZA,OAKL,El Cerrito Plaza,Oakland City Center/12th St
7,45,PLZA,WARM,El Cerrito Plaza,Warm Springs/South Fremont
7,46,PLZA,MLPT,El Cerrito Plaza,Milpitas
7,47,PLZA,BERY,El Cerrito Plaza,Berryessa/North San Jose
7,48,PLZA,PCTR,El Cerrito Plaza,Pittsburg Center
7,49,PLZA,ANTC,El Cerrito Plaza,Antioch
8,0,NBRK,SSAN,North Berkeley,South San Francisco
8,1,NBRK,SBRN,North Berkeley,San Bruno
8,2,NBRK,SFIA,North Berkeley,San Francisco International Airport
8,3,NBRK,MLBR,North Berkeley,Millbrae
8,4,NBRK,WDUB,North Berkeley,West Dublin/Pleasanton
8,5,NBRK,RICH,North Berkeley,Richmond
8,6,NBRK,DELN,North Berkeley,Del Norte
8,7,NBRK,PLZA,North Berkeley,El Cerrito Plaza
8,8,NBRK,NBRK,North Berkeley,North Berkeley
8,9,NBRK,DBRK,North Berkeley,Downtown Berkeley
8,10,NBRK,ASHB,North Berkeley,Ashby
8,11,NBRK,MCAR,North Berkeley,MacArthur
8,12,NBRK,19TH,North Berkeley,19th Street Oakland
8,13,NBRK,12TH,North Berkeley,12th Street Oakland
8,14,NBRK,LAKE,North Berkeley,Lake Merritt
8,15,NBRK,FTVL,North Berkeley,Fruitvale
8,16,NBRK,COLS,North Berkeley,Coliseum
8,17,NBRK,SANL,North Berkeley,San Leandro
8,18,NBRK,BAYF,North Berkeley,Bay Fair
8,19,NBRK,HAYW,North Berkeley,Hayward
8,20,NBRK,SHAY,North Berkeley,South Hayward
8,21,NBRK,UCTY,North Berkeley,Union City
8,22,NBRK,FRMT,North Berkeley,Fremont
8,23,NBRK,CAST,North Berkeley,Castro Valley
8,24,NBRK,DUBL,North Berkeley,Dublin/Pleasanton
8,25,NBRK,PITT,North Berkeley,Pittsburg/Bay Point
8,26,NBRK,NCON,North Berkeley,North Concord/Martinez
8,27,NBRK,COLM,North Berkeley,Colma
8,28,NBRK,CONC,North Berkeley,Concord
8,29,NBRK,PHIL,North Berkeley,Pleasant Hill
